indicator_full_name,indicator,year,geo,numerator,denom,value,blue_bar_label,diff_bar_label,grey_bar_label,summary_sentence,reverse_gap_sentence
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Cathedral Heights, McLean Gardens, Glover Park",71,294,0.2414965986,affordable homes sold,more,homes sold,"more homes sold in Cathedral Heights, McLean Gardens, and Glover Park would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Cathedral Heights, McLean Gardens, and Glover Park than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",19,137,0.1386861314,affordable homes sold,more,homes sold,"more homes sold in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Colonial Village, Shepherd Park, North Portal Estates",0,36,0,affordable homes sold,more,homes sold,"more homes sold in Colonial Village, Shepherd Park, and North Portal Estates would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Colonial Village, Shepherd Park, and North Portal Estates than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Takoma, Brightwood, Manor Park",9,199,0.0452261307,affordable homes sold,more,homes sold,"more homes sold in Takoma, Brightwood, and Manor Park would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Takoma, Brightwood, and Manor Park than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Brightwood Park, Crestwood, Petworth",24,503,0.0477137177,affordable homes sold,more,homes sold,"more homes sold in Brightwood Park, Crestwood, and Petworth would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Brightwood Park, Crestwood, and Petworth than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",1,116,0.0086206897,affordable homes sold,more,homes sold,"more homes sold in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"North Michigan Park, Michigan Park, University Heights",3,146,0.0205479452,affordable homes sold,more,homes sold,"more homes sold in North Michigan Park, Michigan Park, and University Heights would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in North Michigan Park, Michigan Park, and University Heights than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Edgewood, Bloomingdale, Truxton Circle, Eckington",24,378,0.0634920635,affordable homes sold,more,homes sold,"more homes sold in Edgewood, Bloomingdale, Truxton Circle, and Eckington would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Edgewood, Bloomingdale, Truxton Circle, and Eckington than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Brookland, Brentwood, Langdon",5,152,0.0328947368,affordable homes sold,more,homes sold,"more homes sold in Brookland, Brentwood, and Langdon would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Brookland, Brentwood, and Langdon than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Ivy City, Arboretum, Trinidad, Carver Langston",19,194,0.0979381443,affordable homes sold,more,homes sold,"more homes sold in Ivy City, Arboretum, Trinidad, and Carver Langston would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Ivy City, Arboretum, Trinidad, and Carver Langston than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Woodridge, Fort Lincoln, Gateway",7,138,0.0507246377,affordable homes sold,more,homes sold,"more homes sold in Woodridge, Fort Lincoln, and Gateway would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Woodridge, Fort Lincoln, and Gateway than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Union Station, Stanton Park, Kingman Park",16,462,0.0346320346,affordable homes sold,more,homes sold,"more homes sold in Union Station, Stanton Park, and Kingman Park would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Union Station, Stanton Park, and Kingman Park than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Capitol Hill, Lincoln Park",13,440,0.0295454545,affordable homes sold,more,homes sold,more homes sold in Capitol Hill and Lincoln Park would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Capitol Hill and Lincoln Park than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Near Southeast, Navy Yard",0,24,0,affordable homes sold,more,homes sold,more homes sold in Near Southeast and Navy Yard would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Near Southeast and Navy Yard than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,Historic Anacostia,3,27,0.1111111111,affordable homes sold,more,homes sold,more homes sold in Historic Anacostia would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Historic Anacostia than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Eastland Gardens, Kenilworth",4,12,0.3333333333,affordable homes sold,more,homes sold,more homes sold in Eastland Gardens and Kenilworth would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Eastland Gardens and Kenilworth than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Mayfair, Hillbrook, Mahaning Heights",11,57,0.1929824561,affordable homes sold,more,homes sold,"more homes sold in Mayfair, Hillbrook, and Mahaning Heights would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Mayfair, Hillbrook, and Mahaning Heights than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",45,120,0.375,affordable homes sold,more,homes sold,"more homes sold in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"River Terrace, Benning, Greenway, Dupont Park",23,61,0.3770491803,affordable homes sold,more,homes sold,"more homes sold in River Terrace, Benning, Greenway, and Dupont Park would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in River Terrace, Benning, Greenway, and Dupont Park than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Capitol View, Marshall Heights, Benning Heights",37,148,0.25,affordable homes sold,more,homes sold,"more homes sold in Capitol View, Marshall Heights, and Benning Heights would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Capitol View, Marshall Heights, and Benning Heights than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",37,119,0.3109243697,affordable homes sold,more,homes sold,"more homes sold in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",17,43,0.3953488372,affordable homes sold,more,homes sold,"more homes sold in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",6,13,0.4615384615,affordable homes sold,more,homes sold,"more homes sold in Woodland/Fort Stanton, Garfield Heights, and Knox Hill would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Woodland/Fort Stanton, Garfield Heights, and Knox Hill than in"
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,"Sheridan, Barry Farm, Buena Vista",14,42,0.3333333333,affordable homes sold,more,homes sold,"more homes sold in Sheridan, Barry Farm, and Buena Vista would be affordable to the average household of color in DC each year.","A larger share of affordable homes are sold in Sheridan, Barry Farm, and Buena Vista than in"
